0.022,0.426,0.272,0.63,0.479,0.629,0.542,0.378,0.679,0.491,0.894,0.247,0.461
0.108,0.273,0.714,0.381,0.757,0.223,0.209,0.718,0.726,0.587,0.845,0.728,0.32
0.017,0.166,0.799,0.459,0.296,0.74,0.729,0.197,0.387,0.263,0.607,0.346,0.476
0.147,0.256,0.752,0.363,0.999,0.001,0.001,0.999,0.912,0.878,0.787,0.814,0.218
0.225,0.183,0.791,0.441,0.89,0.075,0.063,0.901,0.785,0.797,0.633,0.839,0.243
0.043,0.098,0.892,0.452,0.511,0.555,0.5,0.413,0.533,0.382,0.743,0.605,0.329
0.256,0.026,0.986,0.474,0.62,0.482,0.396,0.509,0.644,0.475,0.841,0.617,0.242
0.355,0.093,0.895,0.47,0.86,0.149,0.105,0.827,0.794,0.707,0.802,0.79,0.221
0.061,0.064,0.907,0.505,0.507,0.518,0.479,0.427,0.534,0.398,0.719,0.568,0.372
0.256,0.09,0.92,0.446,0.689,0.186,0.23,0.685,0.673,0.551,0.784,0.679,0.258
0.139,0.323,0.575,0.461,0.72,0.186,0.209,0.701,0.689,0.532,0.85,0.74,0.268
0.282,0.081,0.903,0.481,0.673,0.334,0.313,0.609,0.625,0.44,0.857,0.802,0.242
0.335,0.26,0.722,0.393,0.429,0.666,0.583,0.324,0.431,0.369,0.533,0.543,0.306
0.004,0.056,0.497,0.999,0.151,0.74,0.853,0.121,0.365,0.078,0.861,0.247,0.524
0.335,0.076,0.863,0.507,0.544,0.592,0.479,0.438,0.535,0.407,0.708,0.666,0.371
0.03,0.057,0.906,0.503,0.21,0.814,0.812,0.136,0.389,0.155,0.788,0.272,0.502
0.134,0.15,0.781,0.509,0.723,0.038,0.147,0.788,0.625,0.539,0.695,0.876,0.185
0.238,0.118,0.869,0.459,0.633,0.223,0.292,0.633,0.586,0.398,0.837,0.79,0.274
0.311,0.128,0.912,0.391,0.393,0.223,0.417,0.487,0.385,0.142,0.8,0.728,0.302
0.043,0.034,0.937,0.502,0.337,0.777,0.708,0.21,0.456,0.363,0.6,0.235,0.55
0.355,0.128,0.861,0.446,0.8,0.112,0.126,0.818,0.748,0.677,0.746,0.74,0.286
0.022,0.048,0.942,0.45,0.222,0.925,0.874,0.087,0.388,0.195,0.72,0.247,0.521
0.1,0.103,0.849,0.506,0.453,0.666,0.583,0.335,0.456,0.326,0.662,0.617,0.274
0.335,0.17,0.756,0.503,0.688,0.223,0.23,0.686,0.651,0.556,0.726,0.716,0.349
0.178,0.093,0.905,0.459,0.899,0.112,0.084,0.87,0.821,0.714,0.851,0.827,0.304
0.295,0.404,0.543,0.364,0.595,0.334,0.354,0.556,0.543,0.461,0.637,0.74,0.311
0.355,0.371,0.49,0.481,0.905,0.112,0.084,0.874,0.78,0.828,0.571,0.876,0.283
0.1,0.563,0.219,0.48,0.715,0.371,0.292,0.642,0.681,0.556,0.794,0.728,0.335
0.204,0.374,0.465,0.506,0.532,0.371,0.396,0.507,0.46,0.324,0.673,0.839,0.267
0.009,0.212,0.697,0.503,0.319,0.814,0.75,0.2,0.397,0.277,0.606,0.383,0.462
0.048,0.138,0.869,0.425,0.218,0.888,0.853,0.104,0.283,0.126,0.596,0.445,0.425
0.165,0.086,0.898,0.478,0.516,0.629,0.521,0.392,0.567,0.408,0.779,0.543,0.33
0.056,0.225,0.671,0.512,0.223,0.74,0.791,0.159,0.391,0.192,0.732,0.247,0.514
0.139,0.059,0.925,0.491,0.549,0.555,0.458,0.438,0.505,0.398,0.653,0.74,0.304
0.225,0.074,0.902,0.493,0.637,0.297,0.292,0.628,0.593,0.409,0.834,0.79,0.264
0.204,0.143,0.827,0.466,0.377,0.814,0.687,0.232,0.339,0.264,0.497,0.679,0.295
0.069,0.061,0.916,0.489,0.698,0.149,0.209,0.718,0.698,0.598,0.763,0.629,0.323
0.004,0.127,0.494,0.885,0.468,0.629,0.562,0.368,0.705,0.463,0.999,0.247,0.542
0.173,0.269,0.644,0.469,0.731,0.297,0.251,0.668,0.759,0.632,0.847,0.592,0.344
0.1,0.036,0.943,0.506,0.456,0.666,0.562,0.339,0.493,0.358,0.693,0.543,0.357
0.277,0.999,0.001,0.006,0.054,0.518,0.833,0.1,0.001,0.1,0.001,0.247,0.394
0.355,0.895,0.13,0.027,0.101,0.629,0.833,0.101,0.035,0.034,0.186,0.666,0.406
0.069,0.104,0.858,0.494,0.654,0.297,0.292,0.613,0.632,0.475,0.814,0.716,0.289
0.267,0.128,0.813,0.507,0.657,0.408,0.334,0.576,0.575,0.528,0.6,0.802,0.359
0.355,0.248,0.665,0.48,0.784,0.26,0.209,0.729,0.71,0.599,0.788,0.814,0.342
0.006,0.281,0.682,0.406,0.25,0.777,0.77,0.17,0.36,0.124,0.774,0.432,0.489
0.1,0.144,0.8,0.497,0.419,0.592,0.562,0.345,0.476,0.243,0.843,0.58,0.322
0.335,0.325,0.556,0.48,0.663,0.408,0.334,0.573,0.619,0.466,0.8,0.765,0.288
0.048,0.083,0.895,0.477,0.4,0.629,0.583,0.324,0.389,0.271,0.598,0.642,0.343
0.256,0.229,0.76,0.401,0.38,0.629,0.604,0.304,0.372,0.107,0.829,0.74,0.366
0.011,0.1,0.894,0.459,0.071,0.925,0.999,0.001,0.285,0.001,0.805,0.223,0.444
0.074,0.205,0.727,0.48,0.935,0.075,0.043,0.92,0.885,0.838,0.794,0.728,0.298
0.204,0.074,0.903,0.493,0.807,0.149,0.147,0.807,0.755,0.63,0.839,0.777,0.31
0.335,0.397,0.497,0.417,0.862,0.075,0.084,0.863,0.807,0.793,0.69,0.716,0.333
0.069,0.065,0.915,0.493,0.596,0.223,0.313,0.613,0.505,0.488,0.507,0.814,0.289
0.34,0.257,0.719,0.396,0.973,0.038,0.022,0.967,0.908,0.896,0.75,0.74,0.265
0.035,0.122,0.842,0.484,0.653,0.186,0.251,0.668,0.593,0.531,0.634,0.753,0.316
0.152,0.074,0.876,0.508,0.403,0.74,0.646,0.275,0.423,0.232,0.741,0.629,0.309
0.027,0.052,0.941,0.485,0.318,0.629,0.646,0.263,0.313,0.289,0.396,0.494,0.406
0.147,0.76,0.315,0.036,0.441,0.445,0.5,0.397,0.33,0.464,0.15,0.753,0.398
0.043,0.126,0.622,0.734,0.367,0.777,0.687,0.243,0.562,0.308,0.929,0.309,0.462
0.152,0.133,0.838,0.469,0.852,0.112,0.105,0.834,0.795,0.745,0.742,0.74,0.256
0.355,0.05,0.915,0.508,0.823,0.149,0.147,0.803,0.818,0.754,0.778,0.617,0.238
0.051,0.32,0.565,0.474,0.404,0.555,0.562,0.335,0.488,0.445,0.538,0.272,0.439
0.074,0.3,0.594,0.478,0.347,0.703,0.666,0.249,0.385,0.147,0.792,0.617,0.379
0.277,0.014,0.999,0.48,0.88,0.075,0.084,0.874,0.825,0.73,0.835,0.765,0.254
0.355,0.516,0.261,0.507,0.714,0.075,0.167,0.755,0.677,0.552,0.791,0.74,0.265
0.03,0.106,0.866,0.483,0.333,0.851,0.75,0.183,0.418,0.284,0.644,0.395,0.52
0.126,0.341,0.547,0.464,0.848,0.075,0.105,0.85,0.791,0.675,0.848,0.777,0.223
0.342,0.506,0.429,0.325,0.646,0.408,0.354,0.559,0.562,0.478,0.652,0.839,0.282
0.134,0.169,0.76,0.5,0.788,0.186,0.167,0.77,0.749,0.633,0.82,0.74,0.261
0.277,0.108,0.855,0.482,0.897,0.075,0.084,0.879,0.748,0.999,0.218,0.814,0.308
0.017,0.145,0.797,0.498,0.276,0.777,0.77,0.18,0.358,0.143,0.738,0.482,0.501
0.126,0.397,0.474,0.456,0.953,0.038,0.022,0.952,0.885,0.834,0.8,0.765,0.241
0.199,0.463,0.369,0.469,0.914,0.038,0.043,0.926,0.885,0.834,0.8,0.679,0.255
0.022,0.344,0.504,0.509,0.378,0.74,0.666,0.262,0.414,0.264,0.667,0.543,0.372
0.017,0.227,0.685,0.486,0.384,0.74,0.666,0.275,0.493,0.308,0.774,0.408,0.494
0.209,0.045,0.936,0.502,0.616,0.334,0.334,0.576,0.645,0.526,0.761,0.568,0.285
0.126,0.218,0.793,0.381,0.268,0.777,0.75,0.185,0.285,0.132,0.59,0.58,0.348
0.043,0.055,0.53,0.961,0.553,0.408,0.396,0.51,0.68,0.441,0.98,0.457,0.46
0.173,0.011,0.561,0.999,0.231,0.74,0.77,0.175,0.435,0.132,0.931,0.309,0.499
0.048,0.145,0.688,0.626,0.996,0.075,0.022,0.976,0.999,0.944,0.878,0.617,0.358
0.199,0.001,0.999,0.502,0.816,0.112,0.126,0.831,0.689,0.809,0.396,0.839,0.279
0.095,0.218,0.786,0.389,0.695,0.223,0.251,0.663,0.644,0.513,0.78,0.777,0.25
0.199,0.054,0.951,0.47,0.639,0.445,0.375,0.542,0.59,0.425,0.802,0.79,0.261
0.048,0.152,0.82,0.46,0.405,0.666,0.604,0.299,0.403,0.184,0.774,0.703,0.244
0.051,0.32,0.565,0.474,0.404,0.555,0.562,0.335,0.488,0.445,0.538,0.272,0.439
0.03,0.106,0.866,0.483,0.333,0.851,0.75,0.183,0.418,0.284,0.644,0.395,0.52
0.04,0.237,0.722,0.433,0.58,0.408,0.396,0.517,0.567,0.531,0.577,0.592,0.358
0.022,0.344,0.504,0.509,0.378,0.74,0.666,0.262,0.414,0.264,0.667,0.543,0.372
0.082,0.244,0.73,0.396,0.295,0.703,0.708,0.219,0.447,0.235,0.788,0.321,0.486
0.061,0.148,0.738,0.464,0.243,0.851,0.812,0.133,0.389,0.192,0.727,0.309,0.506
0.035,0.077,0.917,0.47,0.41,0.629,0.604,0.312,0.509,0.429,0.611,0.297,0.489
0.022,0.157,0.75,0.533,0.339,0.888,0.77,0.175,0.388,0.249,0.632,0.494,0.45
0.087,0.235,0.692,0.471,0.409,0.629,0.583,0.326,0.409,0.273,0.641,0.629,0.306
0.022,0.266,0.673,0.442,0.254,0.814,0.791,0.156,0.377,0.192,0.701,0.346,0.474
0.001,0.187,0.754,0.469,0.32,0.74,0.708,0.228,0.372,0.191,0.692,0.531,0.424
0.043,0.432,0.441,0.433,0.234,0.777,0.791,0.146,0.3,0.127,0.633,0.469,0.448
0.017,0.18,0.71,0.486,0.231,0.851,0.833,0.12,0.268,0.195,0.451,0.408,0.468
0.022,0.266,0.37,0.465,0.289,0.962,0.812,0.13,0.397,0.276,0.608,0.297,0.474
0.017,0.287,0.617,0.446,0.254,0.962,0.853,0.09,0.389,0.192,0.727,0.334,0.45
0.027,0.137,0.855,0.44,0.317,0.74,0.708,0.23,0.456,0.312,0.683,0.272,0.506
0.069,0.212,0.697,0.502,0.291,0.666,0.708,0.229,0.495,0.269,0.841,0.235,0.447
0.017,0.324,0.636,0.388,0.311,0.74,0.708,0.223,0.425,0.268,0.685,0.346,0.463
0.069,0.373,0.542,0.416,0.411,0.629,0.604,0.316,0.462,0.385,0.579,0.42,0.417
0.017,0.387,0.464,0.486,0.231,0.74,0.791,0.172,0.411,0.19,0.782,0.26,0.51
0.277,0.014,0.999,0.48,0.88,0.075,0.084,0.874,0.825,0.73,0.835,0.765,0.254
0.113,0.316,0.611,0.43,0.982,0.038,0.022,0.972,0.912,0.862,0.814,0.777,0.289
0.209,0.045,0.936,0.502,0.616,0.334,0.334,0.576,0.645,0.526,0.761,0.568,0.285
0.335,0.346,0.544,0.46,0.89,0.112,0.105,0.863,0.785,0.714,0.771,0.876,0.27
0.134,0.092,0.898,0.452,0.814,0.112,0.126,0.82,0.768,0.796,0.597,0.642,0.278
0.238,0.1,0.821,0.479,0.692,0.186,0.23,0.692,0.7,0.632,0.712,0.58,0.345
0.139,0.214,0.723,0.449,0.57,0.334,0.354,0.547,0.538,0.529,0.514,0.617,0.336
0.243,0.094,0.797,0.425,0.695,0.149,0.209,0.715,0.622,0.492,0.764,0.827,0.318
0.355,0.143,0.8,0.498,0.568,0.518,0.438,0.471,0.531,0.425,0.669,0.716,0.339
0.225,0.358,0.45,0.476,0.858,0.038,0.084,0.884,0.797,0.935,0.435,0.58,0.289
0.191,0.252,0.646,0.497,0.925,0.075,0.063,0.903,0.828,0.803,0.72,0.827,0.288
0.095,0.286,0.588,0.506,0.869,0.149,0.105,0.841,0.798,0.718,0.792,0.79,0.296
0.11,0.18,0.695,0.492,0.486,0.518,0.5,0.414,0.535,0.357,0.788,0.555,0.27
0.121,0.175,0.773,0.476,0.319,0.74,0.708,0.213,0.268,0.197,0.447,0.716,0.351
0.131,0.271,0.612,0.5,0.479,0.445,0.479,0.434,0.507,0.357,0.726,0.58,0.262
0.225,0.006,0.985,0.51,0.642,0.223,0.271,0.653,0.592,0.487,0.706,0.753,0.185
0.34,0.238,0.675,0.43,0.77,0.112,0.147,0.797,0.643,0.691,0.487,0.888,0.214
0.134,0.269,0.684,0.422,0.504,0.555,0.5,0.418,0.462,0.247,0.803,0.802,0.335
